"","lambda_kappa_level","lambda_hat","E_y"
"15",1,0.04,0.0153846153846154
"8",2,0.1,0
"4",4,0.09,0.102857142857143
"10",5,0.01,0.0230769230769231
"12",6,0.05,0.0583333333333333
"16",7,0.16,0.24
"7",8,0.43,0.333333333333333
"2",9,1.42,0.8
"5",10,0.37,0.371428571428571
"11",11,0.05,0.0695652173913043
"13",12,0.22,0.207692307692308
"17",13,0.39,0
"6",14,1.06,1.14166666666667
"1",15,3.48,3.32
"3",16,0.93,0.745454545454545
"9",17,0.13,0.145454545454545
"14",18,0.54,0.746666666666667
