N.1,N.2,N.3,N.4,N.5,X.1,X.2,X.3,X.4,X.5,X.6,X.7,X.8,TT_N,M.1,M.2,M.3,M.4,M.5
3,4,3,3,4,1,0,1,0,0,0,0,1,5,1402.213333,3105.335,5776.486667,43261.15,35972.7025
2,4,6,1,3,1,0,1,0,0,0,0,1,5,19944.86,45233.835,12381.30833,30483.13,3031.67
1,4,3,1,1,1,0,1,0,0,0,0,1,5,41587,40168.8425,10145.45333,173.92,681.4
5,9,18,21,22,1,0,1,0,0,0,0,1,5,10975.484,7732.645556,8534.355556,4700.947619,4881.973636
12,9,10,9,5,1,0,1,0,0,0,0,1,5,5198.825,3543.138889,12356.347,10006.00556,4963.456
9,6,1,5,13,1,0,1,0,0,0,0,1,5,14783.88556,1361.176667,550.99,3269.178,2416.102308
3,4,6,2,6,1,0,1,0,0,0,0,1,5,8106.806667,3679.22,7573.88,7393.065,2614.948333
6,8,13,16,14,1,0,1,0,0,0,0,1,5,1582.743333,3872.11,8285.641538,7941.753125,2930.519286
2,5,4,1,1,1,0,1,0,0,0,0,1,5,6700.85,6493.516,3540.05,2270.12,1559.54
5,4,6,4,4,1,0,1,0,0,0,0,1,5,5494.664,1622.9375,1848.785,9505.09,2660.905
1,2,1,1,1,1,0,1,0,0,0,0,1,5,1706.68,3101.09,1884.35,8640,2023.53
4,3,3,8,3,1,0,1,0,0,0,0,1,5,2287.62,5604.323333,2425.543333,1826.93875,1481.523333
3,5,3,3,5,1,0,1,0,0,0,0,1,5,11678.13667,3036.388,1180.076667,10179.82333,9361.576
4,11,7,2,7,1,0,1,0,0,0,0,1,5,33944.215,8542.118182,3644.837143,2254.47,2127.894286
1,2,7,2,3,1,0,1,0,0,0,0,1,5,4704.55,16205.25,17399.27714,13382.235,7337.656667
4,1,5,2,1,1,0,1,0,0,0,0,1,5,9325.8625,10026.94,9798.964,7288.805,3466.16
4,2,6,2,5,1,0,1,0,0,0,0,1,5,18565.95,13128.37,2679.961667,948.25,1464.098
2,4,3,2,1,1,0,1,0,0,0,0,1,5,2078.04,5900.775,3213.55,31893.29,2152.7
3,1,11,3,6,1,0,1,0,0,0,0,1,5,70032.62667,612,3204.855455,1837.753333,1701.753333
5,4,5,3,3,1,0,1,0,0,0,0,1,5,2268.51,12502.215,2887.926,2549.15,10976.23333
4,1,3,5,5,1,0,1,0,0,0,0,1,5,1524.745,1411.11,2143.84,10006.608,14016.848
1,1,3,2,1,1,0,1,0,0,0,0,1,5,3330.7,26830.73,4237.333333,1927.695,5082.86
4,4,6,2,1,1,0,1,0,0,0,0,1,5,3420.995,6715.37,12995.95,1196.4,400
4,7,7,4,6,1,0,1,0,0,0,0,1,5,3168.9975,5599.11,6808.847143,4193.445,3182.953333
2,10,9,10,10,1,0,1,0,0,0,0,1,5,1283.03,3248.538,6288.362222,3630.635,12271.304
2,7,3,5,3,1,0,1,0,0,0,0,1,5,865.51,5149.447143,11932.4,3328.404,3242.09
7,7,7,6,3,1,0,1,0,0,0,0,1,5,10271.79571,4648.194286,4717.044286,6549.466667,8320.473333
2,2,1,2,2,1,0,1,0,0,0,0,1,5,4683.68,4941.105,5266.3,6660.515,15899.445
1,13,3,1,2,1,0,0,1,0,0,0,1,5,822.7,2286.569231,2846.986667,4594.02,2175.305
1,3,2,1,2,1,0,0,1,0,0,1,0,5,1704.44,11825.25667,2567.655,2227.08,789.1
1,3,1,1,11,1,0,0,1,0,0,0,1,5,964.42,3503.076667,3427.5,3952.39,684.4972727
2,4,1,4,5,1,0,0,1,0,0,0,1,5,1142.17,2131.5825,2495.36,1434.495,1557.992
1,1,1,1,1,1,1,0,0,0,0,0,1,5,1715.81,987.23,772.8,1501.95,718.11
2,3,1,1,1,1,1,0,0,0,0,0,1,5,9396.765,20568.47,941.81,1941.18,187.4
2,4,3,4,6,1,1,0,0,0,0,0,1,5,3527.59,5611.6025,4368.243333,3868.3225,2814.595
12,8,16,7,7,1,1,0,0,0,0,0,1,5,3640.095,5458,3009.53375,3566.317143,2282.3
2,3,3,5,1,1,0,0,0,0,1,0,1,5,9429.375,9729.473333,2762.153333,11763.654,1040
NA,1,4,2,3,1,0,0,1,0,0,1,0,4,NA,1842.25,1983.01,1110.24,3616.35
1,1,1,2,NA,1,0,0,0,0,1,0,1,4,620.85,3001.83,1545,2475.495,NA
NA,1,3,1,NA,1,1,0,0,0,0,0,1,3,NA,12712.5,3274.876667,773.33,NA
1,1,2,NA,NA,1,0,0,0,0,1,1,0,3,801.17,7498.69,2900,NA,NA
